iter, cut, min_cut, runtime
527, 1, 1, 41975
528, 1, 1, 49727
529, 2, 1, 40089
530, 1, 1, 39461
531, 2, 1, 58736
532, 2, 1, 47772
533, 1, 1, 211967
534, 2, 1, 44209
535, 2, 1, 43301
536, 1, 1, 45607
537, 2, 1, 46304
538, 1, 1, 37225
539, 1, 1, 62997
540, 3, 1, 39530
541, 1, 1, 44139
542, 1, 1, 73472
543, 2, 1, 47073
544, 1, 1, 49657
545, 3, 1, 49238
546, 1, 1, 61949
547, 1, 1, 57200
548, 3, 1, 37155
549, 1, 1, 64603
550, 2, 1, 48679
551, 1, 1, 55244
552, 1, 1, 49028
553, 2, 1, 43511
554, 1, 1, 50774
555, 1, 1, 86324
556, 1, 1, 55873
557, 3, 1, 49238
558, 1, 1, 81574
559, 1, 1, 41555
560, 1, 1, 44349
561, 3, 1, 45257
562, 1, 1, 77175
563, 1, 1, 60343
564, 1, 1, 85206
565, 1, 1, 40507
566, 1, 1, 45187
567, 1, 1, 87511
568, 5, 1, 40228
569, 1, 1, 51403
570, 2, 1, 41556
571, 2, 1, 44140
572, 1, 1, 43092
573, 3, 1, 52870
574, 1, 1, 52311
575, 1, 1, 49029
576, 2, 1, 54196
577, 2, 1, 39460
578, 1, 1, 61530
579, 1, 1, 47282
580, 1, 1, 59225
581, 2, 1, 40647
582, 1, 1, 45466
583, 1, 1, 41415
584, 2, 1, 61041
585, 1, 1, 51473
586, 2, 1, 48819
587, 1, 1, 49447
588, 2, 1, 44419
589, 2, 1, 46724
590, 2, 1, 43790
591, 1, 1, 49098
592, 1, 1, 72495
593, 1, 1, 57689
594, 1, 1, 52520
595, 1, 1, 71656
596, 1, 1, 54476
597, 1, 1, 48260
598, 1, 1, 45745
599, 1, 1, 46863
600, 2, 1, 43441
601, 2, 1, 53498
602, 1, 1, 51543
603, 2, 1, 41556
604, 1, 1, 52241
605, 1, 1, 56501
606, 1, 1, 56641
607, 2, 1, 46165
608, 2, 1, 57200
609, 1, 1, 57759
610, 1, 1, 36667
611, 1, 1, 47352
612, 3, 1, 53009
613, 1, 1, 72355
614, 1, 1, 67955
615, 1, 1, 50075
616, 2, 1, 53428
617, 4, 1, 51682
618, 1, 1, 38203
619, 1, 1, 42393
620, 1, 1, 52311
621, 2, 1, 82483
622, 1, 1, 53289
623, 2, 1, 51822
624, 3, 1, 44349
625, 1, 1, 119289
626, 2, 1, 52939
627, 1, 1, 46164
628, 3, 1, 48190
629, 2, 1, 54895
630, 1, 1, 54057
631, 2, 1, 55803
632, 1, 1, 64882
633, 2, 1, 35688
634, 1, 1, 47771
635, 1, 1, 54546
636, 2, 1, 40927
637, 1, 1, 57200
638, 1, 1, 44279
639, 2, 1, 43511
640, 2, 1, 53358
641, 1, 1, 65650
642, 1, 1, 95332
643, 2, 1, 46793
644, 2, 1, 46025
645, 4, 1, 44907
646, 1, 1, 79479
647, 1, 1, 45396
648, 1, 1, 47212
649, 1, 1, 67815
650, 2, 1, 39111
651, 1, 1, 46235
652, 1, 1, 52799
653, 1, 1, 52800
654, 1, 1, 58457
655, 2, 1, 45886
656, 1, 1, 43860
657, 1, 1, 49238
658, 2, 1, 49867
659, 1, 1, 50216
660, 3, 1, 42533
661, 1, 1, 51891
662, 1, 1, 60064
663, 1, 1, 84089
664, 1, 1, 61529
665, 1, 1, 89117
666, 3, 1, 82971
667, 1, 1, 126343
668, 1, 1, 63276
669, 1, 1, 71308
670, 1, 1, 84018
671, 2, 1, 60133
672, 2, 1, 63137
673, 1, 1, 84437
674, 1, 1, 75428
675, 1, 1, 89606
676, 1, 1, 65231
677, 1, 1, 56711
678, 1, 1, 86463
679, 1, 1, 78222
680, 1, 1, 51054
681, 1, 1, 70888
682, 1, 1, 44210
683, 2, 1, 45117
684, 2, 1, 45746
685, 1, 1, 57270
686, 1, 1, 60902
687, 1, 1, 58667
688, 3, 1, 40927
689, 1, 1, 44000
690, 1, 1, 64813
691, 2, 1, 49517
692, 2, 1, 56222
693, 1, 1, 38064
694, 1, 1, 52590
695, 1, 1, 43721
696, 3, 1, 52311
697, 2, 1, 62089
698, 1, 1, 42463
699, 2, 1, 51402
700, 1, 1, 45885
701, 1, 1, 40648
702, 1, 1, 51613
703, 2, 1, 35270
704, 1, 1, 43581
705, 1, 1, 58178
706, 2, 1, 42952
707, 1, 1, 51124
708, 1, 1, 49587
709, 1, 1, 52381
710, 1, 1, 47771
711, 2, 1, 55314
712, 1, 1, 55803
713, 1, 1, 56292
714, 2, 1, 46653
715, 3, 1, 46724
716, 1, 1, 66000
717, 2, 1, 50146
718, 2, 1, 53568
719, 2, 1, 45676
720, 2, 1, 55454
721, 2, 1, 52451
722, 1, 1, 56780
723, 1, 1, 51473
724, 2, 1, 51263
725, 1, 1, 49937
726, 2, 1, 45676
727, 1, 1, 48819
728, 2, 1, 42393
729, 1, 1, 345293
730, 1, 1, 44698
731, 1, 1, 64883
732, 1, 1, 48050
733, 2, 1, 41835
734, 1, 1, 54057
735, 1, 1, 41555
736, 2, 1, 57339
737, 1, 1, 59226
738, 1, 1, 51473
739, 1, 1, 46305
740, 1, 1, 143663
741, 1, 1, 68164
742, 1, 1, 64882
743, 2, 1, 48610
744, 1, 1, 47352
745, 1, 1, 68305
746, 1, 1, 45816
747, 1, 1, 47073
748, 2, 1, 56292
749, 1, 1, 59574
750, 1, 1, 48470
751, 1, 1, 47492
752, 1, 1, 56152
753, 1, 1, 60552
754, 1, 1, 78780
755, 2, 1, 41485
756, 3, 1, 50495
757, 1, 1, 50145
758, 1, 1, 43441
759, 1, 1, 54616
760, 1, 1, 103156
761, 2, 1, 57758
762, 1, 1, 50775
763, 1, 1, 49447
764, 1, 1, 45327
765, 1, 1, 42323
766, 1, 1, 45816
767, 2, 1, 52241
768, 1, 1, 51403
769, 1, 1, 45397
770, 1, 1, 38552
771, 1, 1, 52101
772, 3, 1, 46584
773, 3, 1, 47072
774, 2, 1, 201002
775, 1, 1, 50076
776, 1, 1, 54406
777, 2, 1, 49657
778, 1, 1, 56292
779, 2, 1, 44210
780, 1, 1, 47911
781, 1, 1, 61041
782, 1, 1, 48540
783, 1, 1, 51892
784, 1, 1, 73543
785, 2, 1, 47213
786, 2, 1, 44000
787, 1, 1, 46165
788, 1, 1, 41136
789, 1, 1, 48191
790, 2, 1, 57619
791, 1, 1, 44907
792, 1, 1, 44838
793, 2, 1, 64393
794, 1, 1, 50286
795, 2, 1, 41416
796, 1, 1, 51543
797, 1, 1, 56781
798, 1, 1, 41346
799, 1, 1, 47981
800, 2, 1, 46654
801, 2, 1, 40228
802, 1, 1, 51403
803, 2, 1, 44768
804, 2, 1, 54616
805, 1, 1, 46584
806, 3, 1, 46234
807, 3, 1, 46305
808, 1, 1, 46025
809, 1, 1, 51822
810, 1, 1, 54826
811, 1, 1, 64324
812, 2, 1, 41975
813, 2, 1, 40507
814, 3, 1, 52869
815, 1, 1, 62437
816, 1, 1, 49517
817, 1, 1, 48469
818, 2, 1, 44699
819, 1, 1, 58946
820, 1, 1, 50355
821, 1, 1, 45397
822, 2, 1, 50216
823, 2, 1, 155955
824, 4, 1, 141148
825, 1, 1, 44000
826, 1, 1, 69073
827, 1, 1, 53009
828, 1, 1, 109091
829, 1, 1, 55314
830, 2, 1, 62926
831, 1, 1, 70190
832, 1, 1, 48191
833, 1, 1, 42533
834, 1, 1, 45955
835, 2, 1, 70959
836, 1, 1, 47073
837, 1, 1, 48470
838, 1, 1, 56222
839, 1, 1, 58177
840, 1, 1, 38761
841, 1, 1, 56222
842, 2, 1, 49587
843, 1, 1, 44489
844, 1, 1, 42394
845, 2, 1, 55244
846, 1, 1, 42883
847, 2, 1, 60622
848, 2, 1, 42812
849, 1, 1, 43441
850, 2, 1, 47072
851, 1, 1, 47561
852, 1, 1, 42742
853, 1, 1, 126831
854, 1, 1, 60901
855, 1, 1, 48539
856, 1, 1, 46724
857, 1, 1, 60483
858, 1, 1, 58107
859, 1, 1, 56711
860, 1, 1, 79688
861, 1, 1, 49727
862, 1, 1, 60133
863, 1, 1, 50984
864, 1, 1, 50984
865, 1, 1, 74032
866, 1, 1, 49657
867, 1, 1, 53149
868, 1, 1, 58876
869, 1, 1, 45397
870, 2, 1, 60063
871, 1, 1, 52102
872, 2, 1, 49098
873, 1, 1, 47771
874, 1, 1, 68584
875, 3, 1, 44977
876, 1, 1, 39879
877, 1, 1, 64114
878, 1, 1, 52101
879, 1, 1, 196812
880, 1, 1, 49657
881, 3, 1, 49168
882, 1, 1, 42952
