iter, cut, min_cut, runtime
969, 5, 2, 43231
970, 4, 2, 42812
971, 5, 2, 46374
972, 5, 2, 46723
973, 3, 2, 40647
974, 4, 2, 45536
975, 8, 2, 50145
976, 3, 2, 46654
977, 2, 2, 37714
978, 2, 2, 43790
979, 3, 2, 41626
980, 3, 2, 40159
981, 7, 2, 42743
982, 2, 2, 43930
983, 6, 2, 41415
984, 5, 2, 41136
985, 5, 2, 44209
986, 2, 2, 47911
987, 4, 2, 41485
988, 2, 2, 42882
989, 5, 2, 42882
990, 5, 2, 43372
991, 6, 2, 41835
992, 5, 2, 38483
993, 8, 2, 43371
994, 4, 2, 51891
995, 5, 2, 43581
996, 2, 2, 46514
997, 8, 2, 44349
998, 4, 2, 47143
999, 4, 2, 44000
1000, 4, 2, 49028
1001, 4, 2, 46305
1002, 2, 2, 43301
1003, 4, 2, 48539
1004, 4, 2, 41835
1005, 5, 2, 39250
1006, 2, 2, 49936
1007, 4, 2, 50984
1008, 3, 2, 41695
1009, 4, 2, 40648
1010, 6, 2, 40997
1011, 4, 2, 38622
1012, 6, 2, 45676
1013, 2, 2, 42324
1014, 2, 2, 43302
1015, 4, 2, 49518
1016, 4, 2, 38203
1017, 4, 2, 46164
1018, 5, 2, 43511
1019, 4, 2, 39879
1020, 5, 2, 44768
1021, 4, 2, 45257
1022, 2, 2, 42952
1023, 4, 2, 51403
1024, 3, 2, 44069
1025, 2, 2, 43441
1026, 4, 2, 50704
1027, 4, 2, 44279
1028, 6, 2, 43999
1029, 5, 2, 41835
1030, 3, 2, 53778
1031, 4, 2, 43232
1032, 4, 2, 50076
1033, 4, 2, 43371
1034, 4, 2, 42953
1035, 5, 2, 46165
1036, 4, 2, 43790
1037, 8, 2, 53428
1038, 6, 2, 39460
1039, 6, 2, 41485
1040, 5, 2, 44419
1041, 3, 2, 48889
1042, 3, 2, 51543
1043, 4, 2, 43022
1044, 5, 2, 43720
1045, 3, 2, 42393
1046, 6, 2, 42952
1047, 9, 2, 40578
1048, 4, 2, 38133
1049, 6, 2, 44349
1050, 4, 2, 40927
1051, 2, 2, 52870
1052, 4, 2, 46234
1053, 4, 2, 40857
1054, 2, 2, 52451
1055, 4, 2, 51473
1056, 6, 2, 54406
1057, 2, 2, 48470
1058, 5, 2, 43651
1059, 7, 2, 49238
1060, 4, 2, 43791
1061, 5, 2, 41066
1062, 4, 2, 40438
1063, 4, 2, 45327
1064, 4, 2, 45676
1065, 6, 2, 36736
1066, 3, 2, 39111
1067, 5, 2, 45676
1068, 3, 2, 42603
1069, 2, 2, 41486
1070, 2, 2, 37156
1071, 3, 2, 42533
1072, 4, 2, 40996
1073, 4, 2, 44000
1074, 3, 2, 44139
1075, 3, 2, 40228
1076, 4, 2, 45327
1077, 4, 2, 41346
1078, 4, 2, 45886
1079, 3, 2, 44838
1080, 5, 2, 43720
1081, 2, 2, 53707
1082, 6, 2, 44349
1083, 3, 2, 57200
1084, 5, 2, 39111
1085, 4, 2, 43092
1086, 4, 2, 42743
1087, 2, 2, 40996
1088, 8, 2, 44768
1089, 5, 2, 40927
1090, 3, 2, 47283
1091, 5, 2, 45676
1092, 4, 2, 40856
1093, 5, 2, 44279
1094, 4, 2, 43999
1095, 4, 2, 43371
1096, 3, 2, 49727
1097, 2, 2, 45816
1098, 3, 2, 42533
1099, 6, 2, 41416
1100, 6, 2, 43441
1101, 5, 2, 39530
1102, 5, 2, 40438
1103, 4, 2, 41276
1104, 8, 2, 40577
1105, 2, 2, 41416
1106, 3, 2, 41136
1107, 4, 2, 44279
1108, 3, 2, 43511
1109, 3, 2, 44139
1110, 5, 2, 45327
1111, 5, 2, 43791
1112, 2, 2, 45257
1113, 3, 2, 47073
1114, 3, 2, 40508
1115, 4, 2, 41346
1116, 3, 2, 43302
1117, 3, 2, 41556
1118, 5, 2, 41346
1119, 5, 2, 42464
1120, 2, 2, 44629
1121, 6, 2, 38064
1122, 7, 2, 43930
1123, 7, 2, 45256
1124, 3, 2, 45397
1125, 4, 2, 54127
1126, 4, 2, 43721
1127, 5, 2, 44280
1128, 6, 2, 47353
1129, 2, 2, 56362
1130, 4, 2, 47003
1131, 2, 2, 41415
1132, 2, 2, 40996
1133, 4, 2, 39949
1134, 3, 2, 50565
1135, 6, 2, 47771
1136, 4, 2, 44210
1137, 4, 2, 40718
1138, 2, 2, 39740
1139, 4, 2, 50844
1140, 8, 2, 44908
1141, 2, 2, 42394
1142, 3, 2, 41835
1143, 4, 2, 52102
1144, 9, 2, 43930
1145, 4, 2, 47143
1146, 5, 2, 49517
1147, 4, 2, 41764
1148, 4, 2, 44628
1149, 5, 2, 48190
